player_class,card_name,rarity,before_zone,times_played,win_percentage
DRUID,Aya Blackpaw,LEGENDARY,HAND,151,62.25
DRUID,Emperor Thaurissan,LEGENDARY,HAND,74,55.41
DRUID,Brann Bronzebeard,LEGENDARY,HAND,67,55.22
DRUID,Bloodmage Thalnos,LEGENDARY,HAND,65,52.31
DRUID,Fandral Staghelm,LEGENDARY,HAND,330,47.58
DRUID,Arcane Giant,EPIC,HAND,277,46.93
DRUID,Ancient of War,EPIC,HAND,165,38.79
DRUID,Harrison Jones,LEGENDARY,HAND,52,23.08
MAGE,Ragnaros the Firelord,LEGENDARY,HAND,58,62.07
MAGE,Bloodmage Thalnos,LEGENDARY,HAND,57,52.63
MAGE,Kazakus,LEGENDARY,HAND,50,52
PALADIN,Patches the Pirate,LEGENDARY,DECK,59,45.76
PALADIN,Meanstreet Marshal,EPIC,HAND,99,44.44
PRIEST,Twilight Guardian,EPIC,HAND,430,56.05
PRIEST,Brann Bronzebeard,LEGENDARY,HAND,154,51.95
ROGUE,Edwin VanCleef,LEGENDARY,HAND,59,62.71
ROGUE,Bloodmage Thalnos,LEGENDARY,HAND,69,49.28
ROGUE,Patches the Pirate,LEGENDARY,DECK,159,44.65
SHAMAN,Barnes,LEGENDARY,HAND,68,51.47
SHAMAN,Bloodmage Thalnos,LEGENDARY,HAND,137,48.18
WARLOCK,Unlicensed Apothecary,EPIC,HAND,91,91.21
WARLOCK,Reno Jackson,LEGENDARY,HAND,170,79.41
WARLOCK,Emperor Thaurissan,LEGENDARY,HAND,148,79.05
WARLOCK,Kazakus,LEGENDARY,HAND,185,74.05
WARLOCK,Sylvanas Windrunner,LEGENDARY,HAND,92,69.57
WARLOCK,Ragnaros the Firelord,LEGENDARY,HAND,58,67.24
WARLOCK,Mountain Giant,EPIC,HAND,153,66.67
WARLOCK,Brann Bronzebeard,LEGENDARY,HAND,174,56.32
WARLOCK,Doomsayer,EPIC,HAND,143,53.15
WARRIOR,Grommash Hellscream,LEGENDARY,HAND,50,82
WARRIOR,Southsea Captain,EPIC,HAND,271,66.79
WARRIOR,Leeroy Jenkins,LEGENDARY,HAND,284,61.62
WARRIOR,Twilight Guardian,EPIC,HAND,85,57.65
WARRIOR,Patches the Pirate,LEGENDARY,DECK,3340,57.13
WARRIOR,Sir Finley Mrrgglton,LEGENDARY,HAND,668,53.14
WARRIOR,Captain Greenskin,LEGENDARY,HAND,107,52.34
WARRIOR,Hobart Grapplehammer,LEGENDARY,HAND,302,51.99
WARRIOR,Patches the Pirate,LEGENDARY,HAND,259,28.96