archetype_id,wins,games,overall_winrate,oncurvekelesethwins,oncurvekelesethgames,,oncurve_winrate,oncurvekelesethwins_multipleplays,oncurvekelesethgames_multipleplays,oncurve_winrate_multipleplays
169,1209361,2165711,55.84,381578,532716,1.282593123,71.62,124981,157700,79.25
134,894065,1580065,56.58,284715,391634,1.284729586,72.69,92,130,70.76
175,119854,210800,56.85,36480,51807,1.238522427,70.41,2136,2711,78.79
159,89084,169212,52.64,27569,42412,1.234802432,65,4,7,57.14
22,68691,126370,54.35,21138,31817,1.222263109,66.43,6,6,100
,34856,65557,53.16,10762,15849,1.277276147,67.9,1810,2286,79.17
174,22399,41427,54.06,6688,10338,1.19663337,64.69,2,4,50
137,17344,38662,44.86,5163,8904,1.292465448,57.98,3,4,75
72,8032,14483,55.45,2493,3611,1.24490532,69.03,1,1,100
130,6864,13623,50.38,2031,3294,1.223699881,61.65,3,5,60
25,4002,10319,38.78,1136,2313,1.26637442,49.11,413,758,54.48
171,4709,9402,50.08,1393,2240,1.241613419,62.18,0,0,
162,2647,5362,49.36,826,1275,1.312398703,64.78,1,1,100
63,2353,4968,47.36,653,1108,1.244298986,58.93,0,0,
153,2269,4492,50.51,673,1036,1.286081964,64.96,195,277,70.39
52,1917,4010,47.8,530,919,1.206485356,57.67,0,0,
147,1587,3622,43.81,445,866,1.1727916,51.38,0,0,
157,1753,3498,50.11,492,839,1.170225504,58.64,0,0,
156,1658,3232,51.29,499,813,1.196529538,61.37,0,0,
30,1470,3219,45.66,450,797,1.23653088,56.46,0,0,
129,894,2132,41.93,240,468,1.222990699,51.28,1,1,100
144,974,2110,46.16,282,485,1.259532062,58.14,0,0,
128,966,1939,49.81,254,403,1.26520779,63.02,1,1,100
170,789,1917,41.15,221,399,1.345808019,55.38,0,1,0
136,763,1609,47.42,216,374,1.217840574,57.75,0,0,
146,698,1561,44.71,213,367,1.297919928,58.03,0,0,
141,634,1474,43.01,209,335,1.450360381,62.38,0,0,
145,588,1337,43.97,181,322,1.278371617,56.21,0,0,
132,519,1183,43.87,146,274,1.214497379,53.28,0,0,
172,594,1142,52.01,205,284,1.387810037,72.18,68,92,73.91
151,376,1021,36.82,107,217,1.338946225,49.3,34,64,53.12
148,337,876,38.47,88,184,1.24304653,47.82,0,0,
164,335,788,42.51,88,160,1.29381322,55,0,0,
139,220,623,35.31,61,146,1.183234211,41.78,0,1,0
127,203,449,45.21,63,106,1.314532183,59.43,0,0,
149,82,217,37.78,24,52,1.221545791,46.15,0,0,
167,51,114,44.73,17,27,1.40755645,62.96,0,0,
131,50,113,44.24,18,27,1.506781193,66.66,0,0,
158,53,113,46.9,13,23,1.205117271,56.52,0,0,
61,43,97,44.32,20,28,1.611462094,71.42,0,0,
173,32,82,39.02,12,21,1.464377242,57.14,1,1,100
142,14,47,29.78,2,5,1.343183345,40,0,0,
75,12,45,26.66,4,7,2.143285821,57.14,1,2,50
155,14,42,33.33,3,9,1,33.33,2,2,100
64,11,19,57.89,3,4,1.295560546,75,0,0,
135,11,18,61.11,4,5,1.309114711,80,0,0,
57,6,8,75,2,3,0.8888,66.66,0,0,
10,1,7,14.28,1,4,1.75070028,25,0,0,
59,2,3,66.66,0,0,0,,0,0,
49,1,3,33.33,0,0,0,,0,0,
138,0,2,0,0,0,#DIV/0!,,0,0,
150,0,1,0,0,1,#DIV/0!,0,0,0,