gameplayed,archetype_id,postnerf
45,45,FALSE
53,8,TRUE
187,10,FALSE
4,17,FALSE
8187,31,FALSE
2,143,FALSE
21532,126,TRUE
1103390,220,TRUE
686686,61,TRUE
9,163,FALSE
22569,60,TRUE
978,136,FALSE
187,170,TRUE
1466,173,TRUE
4812245,179,TRUE
239578,180,FALSE
111299,215,TRUE
46,40,TRUE
109,40,FALSE
30519,22,TRUE
9,20,FALSE
12656,1,FALSE
7,163,TRUE
645,189,FALSE
984092,197,TRUE
879634,15,FALSE
162,43,FALSE
1299221,36,TRUE
83,34,TRUE
645573,134,FALSE
41,146,TRUE
838,195,FALSE
1040451,205,TRUE
98887,231,FALSE
2344,234,TRUE
45,68,TRUE
54406,178,FALSE
348621,150,TRUE
363138,63,TRUE
30,70,TRUE
3,53,TRUE
429,131,TRUE
260,132,TRUE
762,151,TRUE
4895978,197,FALSE
3655,225,FALSE
23465,236,TRUE
59,42,FALSE
52,47,TRUE
75,19,FALSE
61276,141,TRUE
427359,145,TRUE
2311,30,TRUE
278809,169,FALSE
45131,214,TRUE
156,51,FALSE
170,58,TRUE
2439023,25,TRUE
3401,147,FALSE
90290,226,FALSE
71,242,FALSE
61,47,FALSE
1193,64,FALSE
1116,55,FALSE
2,35,FALSE
17,57,TRUE
1440,160,FALSE
6611,156,FALSE
23,69,FALSE
974837,221,FALSE
3214745,219,TRUE
235948,226,TRUE
1352258,7,TRUE
84,44,TRUE
5267,62,FALSE
340862,145,FALSE
1647,161,TRUE
594802,134,TRUE
17894,144,FALSE
2817,30,FALSE
504,185,TRUE
98933,183,FALSE
73945,188,FALSE
42371,209,TRUE
1983,213,FALSE
20605,240,FALSE
291,241,FALSE
58,39,FALSE
46,46,FALSE
276,27,FALSE
116775,2,TRUE
9,114,FALSE
8,152,FALSE
3862,130,FALSE
10754,6,FALSE
22622,210,FALSE
69746,233,TRUE
68,44,FALSE
183,10,TRUE
6,17,TRUE
135748,2,FALSE
2503710,155,FALSE
1412023,149,FALSE
46043,138,FALSE
197014,138,TRUE
608,136,TRUE
1653,148,FALSE
172,181,TRUE
1,13,FALSE
208391,206,TRUE
52509,233,FALSE
205084,239,TRUE
21,14,TRUE
119,14,FALSE
22494,127,FALSE
267,154,TRUE
584803,157,TRUE
1353,173,FALSE
15378,217,TRUE
2061,229,FALSE
44,45,TRUE
4,59,FALSE
2549,31,TRUE
4,68,FALSE
37813,171,FALSE
668692,180,TRUE
221,191,TRUE
197578,150,FALSE
11351,200,FALSE
224,27,TRUE
1711,161,FALSE
91860,209,FALSE
1787217,219,FALSE
66705,6,TRUE
62509,230,TRUE
140,146,FALSE
341,52,FALSE
813,129,TRUE
198642,155,TRUE
1028,185,FALSE
420,181,FALSE
4438608,205,FALSE
129218,230,FALSE
64699,235,TRUE
430,52,TRUE
7,114,TRUE
2882,130,TRUE
72076,178,TRUE
496,195,TRUE
1358001,182,FALSE
1596589,216,FALSE
11964,210,TRUE
201898,15,TRUE
872814,56,TRUE
2577033,11,TRUE
444799,[NULL],FALSE
282,72,FALSE
521,198,FALSE
153,204,FALSE
120600,188,TRUE
137968,183,TRUE
31818,142,TRUE
63505,211,FALSE
578670,223,FALSE
66,3,FALSE
86009,[NULL],TRUE
148,72,TRUE
4314,156,TRUE
323,132,FALSE
590811,162,FALSE
230767,224,TRUE
224519,224,FALSE
293790,228,FALSE
1904,16,FALSE
1285,167,FALSE
41120,236,FALSE
1302,50,TRUE
5,35,TRUE
1,69,TRUE
1217086,162,TRUE
125,159,TRUE
73767,168,TRUE
1159096,196,FALSE
199,191,FALSE
252852,228,TRUE
1264,232,TRUE
37790,79,FALSE
96,34,FALSE
32088,171,TRUE
3517,200,TRUE
8501,234,FALSE
163,8,FALSE
1954102,63,FALSE
62,19,TRUE
1402352,157,FALSE
1254,167,TRUE
3234,128,TRUE
1083,151,FALSE
177,177,FALSE
18536,126,FALSE
32325,79,TRUE
24811,22,FALSE
450585,61,FALSE
31310,127,TRUE
588206,137,TRUE
6,143,TRUE
87,177,TRUE
111714,222,TRUE
4011957,215,FALSE
67677,235,FALSE
30,41,TRUE
185,51,TRUE
1387,16,TRUE
228,131,FALSE
60105,214,FALSE
247425,218,FALSE
1249214,221,TRUE
30975,227,FALSE
1210,227,TRUE
14,20,TRUE
151717,1,TRUE
2887047,36,FALSE
18,59,TRUE
37494,139,TRUE
1180,129,FALSE
1281552,179,FALSE
242728,206,FALSE
28569,60,FALSE
24027,225,TRUE
922,229,TRUE
35264,239,FALSE
43,42,TRUE
552868,137,FALSE
2699,128,FALSE
4985,139,FALSE
249551,169,TRUE
80766,184,FALSE
415750,196,TRUE
200794,222,FALSE
174904,218,TRUE
601034,212,FALSE
45985,211,TRUE
188206,9,FALSE
616,189,TRUE
1496119,182,TRUE
3674601,216,TRUE
38,39,TRUE
49,46,TRUE
247,66,FALSE
380342,56,FALSE
242,58,FALSE
1363,55,TRUE
844,160,TRUE
13328,144,TRUE
736779,168,FALSE
1572415,231,TRUE
2124,232,FALSE
10955,62,TRUE
3190,241,TRUE
370,154,FALSE
293,170,FALSE
211581,184,TRUE
107,159,FALSE
442,198,TRUE
242,204,TRUE
360370,212,TRUE
9287,217,FALSE
215152,223,TRUE
650252,220,FALSE
91,43,TRUE
785009,25,FALSE
5,57,FALSE
117307,141,FALSE
8,153,FALSE
1503,148,TRUE
2577691,149,TRUE
89115,9,TRUE
1286,213,TRUE
217395,7,FALSE
41283,240,TRUE
80,41,FALSE
50,3,TRUE
178,66,TRUE
1639,50,FALSE
788,64,TRUE
4231157,11,FALSE
29,70,FALSE
1,74,FALSE
2987,147,TRUE
33264,142,FALSE
5336,242,TRUE
