plays	turn	game_type	play_category
44607	44	2	Other
41786	8	2	WARLOCK
10275	24	2	PALADIN
9368	30	2	PRIEST
1100	48	2	PRIEST
3011	30	2	SHAMAN
24251	12	2	WARRIOR
9918	23	2	ROGUE
53197	15	2	ROGUE
8424	24	2	MAGE
1404	33	2	MAGE
3586	33	2	DRUID
29909	18	2	The Coin
350	41	2	The Coin
5626	48	2	WARRIOR
763	69	2	WARRIOR
158717	35	3	Other
503045	1	3	Other
5334	41	3	PRIEST
34052	28	3	PRIEST
14143	32	3	WARRIOR
7951	2	3	ROGUE
107961	23	3	MAGE
49424	25	3	DRUID
64654	23	3	DRUID
7279	21	3	The Coin
35649	23	3	PALADIN
111994	16	30	Other
27991	1	30	Other
32927	26	30	Other
656	23	30	PALADIN
2217	15	30	PALADIN
602	41	30	PRIEST
506	32	30	SHAMAN
2434	16	30	MAGE
448	27	30	MAGE
5308	39	30	Other
3196	14	30	DRUID
303	59	30	Other
806	53	30	Other
83	41	30	SHAMAN
1032	28	30	SHAMAN
1123	20	30	DRUID
333	34	2	WARLOCK
20050	8	3	HUNTER
242	31	3	NEUTRAL
299	27	30	DRUID
36	39	30	PALADIN
6	85	30	PRIEST
189	54	30	PRIEST
71	60	3	Other
36	39	30	DRUID
330	1	30	PALADIN
275	60	30	Other
122	44	2	MAGE
23	45	2	WARLOCK
366	41	3	HUNTER
48	32	30	HUNTER
14	56	3	PALADIN
26	52	3	ROGUE
16	60	3	MAGE
5	41	30	HUNTER
12	50	2	SHAMAN
4	60	3	DRUID
16	2	2	PRIEST
24	49	3	WARLOCK
2	78	2	NEUTRAL
2	58	3	The Coin
2	53	30	PALADIN
2	84	2	DRUID
4	53	2	ROGUE
2	63	2	WARLOCK
1	45	30	The Coin
1	49	30	ROGUE
20277	22	2	HUNTER
1095	31	2	WARLOCK
877	32	2	WARLOCK
4368	28	2	WARLOCK
22254	22	2	PRIEST
37429	7	2	PRIEST
2390	42	2	PRIEST
2685	28	2	ROGUE
30928	10	2	MAGE
27652	12	2	MAGE
97524	10	2	DRUID
77203	12	2	DRUID
1990	36	2	DRUID
5560	9	2	The Coin
30288	34	2	NEUTRAL
94550	21	2	NEUTRAL
91	70	2	PRIEST
120	83	2	Other
2456	58	2	WARRIOR
40491	25	3	WARLOCK
23021	5	3	PRIEST
11122	36	3	PRIEST
3093	44	3	PRIEST
2632	44	3	WARRIOR
32594	4	3	WARRIOR
24996	12	3	WARRIOR
25463	9	3	WARRIOR
8270	36	3	WARRIOR
62177	15	3	ROGUE
144201	3	3	MAGE
78567	18	3	DRUID
110970	3	3	DRUID
19114	29	3	WARLOCK
9521	11	3	The Coin
257258	8	3	The Coin
198	1	3	DRUID
24801	28	30	Other
1381	10	30	HUNTER
693	4	30	HUNTER
1003	23	30	WARLOCK
2806	13	30	PALADIN
2787	12	30	PRIEST
915	36	30	PRIEST
12028	9	30	SHAMAN
9490	5	30	SHAMAN
214	36	30	SHAMAN
532	26	30	MAGE
7224	3	30	DRUID
53	32	30	The Coin
2338	4	30	WARRIOR
420	10	30	NEUTRAL
358	26	30	DRUID
8216	35	3	DRUID
19316	10	3	WARRIOR
5	54	30	The Coin
15	5	2	The Coin
189	65	2	NEUTRAL
120	46	3	The Coin
234	44	3	HUNTER
74	62	30	PRIEST
2	45	30	ROGUE
7	47	30	PALADIN
2	80	2	DRUID
1	83	30	NEUTRAL
1	61	30	WARLOCK
2	55	30	SHAMAN
7	52	2	SHAMAN
1	45	30	WARLOCK
1	70	2	HUNTER
1	81	2	The Coin
1	64	3	ROGUE
113760	37	2	Other
9031	57	2	Other
16304	24	2	WARLOCK
25468	20	2	PRIEST
20038	20	2	SHAMAN
15083	22	2	SHAMAN
1113	34	2	SHAMAN
22835	8	2	WARRIOR
66408	13	2	ROGUE
16155	21	2	MAGE
125083	4	2	DRUID
159742	2	2	The Coin
4606	51	2	WARRIOR
14849	40	2	NEUTRAL
7755	45	2	NEUTRAL
300	58	2	PRIEST
49	74	2	PRIEST
725	51	2	PRIEST
1266	65	2	WARRIOR
10678	47	3	Other
2967407	13	3	Other
83541	38	3	Other
3130	33	3	HUNTER
515	40	3	WARLOCK
51825	12	3	PRIEST
47568	9	3	PRIEST
18163	33	3	PRIEST
4467	36	3	SHAMAN
34834	9	3	SHAMAN
40697	8	3	ROGUE
1948	32	3	The Coin
22436	5	3	HUNTER
12174	30	3	SHAMAN
28241	27	3	WARLOCK
3274	43	30	Other
3148	21	30	NEUTRAL
1295	37	30	NEUTRAL
84	45	3	WARLOCK
266	55	3	PRIEST
3458	34	3	ROGUE
430	27	30	WARLOCK
14	43	30	MAGE
17	31	30	The Coin
14	72	30	WARRIOR
73	55	3	SHAMAN
344	47	3	PALADIN
15	54	3	The Coin
85	37	3	NEUTRAL
251	30	30	MAGE
45	49	2	PALADIN
4	47	30	MAGE
17	43	30	DRUID
6	83	30	WARRIOR
22	35	30	WARLOCK
13	80	30	PRIEST
1	77	30	DRUID
4	50	30	MAGE
3	56	3	WARLOCK
8	83	30	PRIEST
9	49	3	NEUTRAL
2	58	2	HUNTER
3	69	2	The Coin
4	62	3	SHAMAN
2	69	3	WARRIOR
1	69	3	PRIEST
1	46	30	WARLOCK
1	59	3	ROGUE
1	75	30	NEUTRAL
292668	31	2	Other
896053	24	2	Other
39399	19	2	HUNTER
45541	17	2	HUNTER
83667	13	2	HUNTER
208	38	2	HUNTER
2611	31	2	PALADIN
28580	13	2	PRIEST
28743	17	2	PRIEST
29247	19	2	PRIEST
3802	38	2	PRIEST
1192	47	2	PRIEST
22931	9	2	WARRIOR
20117	30	2	WARRIOR
21125	20	2	ROGUE
3350	27	2	ROGUE
417	76	2	Other
3604	28	2	MAGE
1656	32	2	MAGE
8558	28	2	DRUID
4265	32	2	DRUID
89019	6	2	DRUID
804	40	2	DRUID
841	50	2	PRIEST
93538	14	2	The Coin
1955	55	2	NEUTRAL
913	9	2	NEUTRAL
802418	27	3	Other
1628100	23	3	Other
27361	25	3	PALADIN
20202	27	3	PALADIN
63779	14	3	PRIEST
41024	14	3	SHAMAN
4737	40	3	WARRIOR
132943	21	3	MAGE
83817	25	3	MAGE
45683	29	3	MAGE
36242	27	3	DRUID
25825	29	3	DRUID
2524	36	3	WARLOCK
68	48	3	The Coin
22808	28	3	WARRIOR
2886	39	3	SHAMAN
361	56	3	Other
1975	46	3	WARRIOR
79485	21	3	DRUID
121137	15	30	Other
1937	11	30	HUNTER
1116	8	30	HUNTER
369	27	30	PALADIN
9145	35	30	Other
1590	20	30	MAGE
657	23	30	DRUID
3328	9	30	ROGUE
1202	24	30	WARRIOR
37911	16	3	SHAMAN
240	29	30	PALADIN
78	35	30	PALADIN
47	21	30	The Coin
31	81	2	PRIEST
136	53	3	SHAMAN
13	37	30	WARLOCK
59	57	3	MAGE
226	32	3	NEUTRAL
30	66	30	WARRIOR
15	54	2	PALADIN
12	86	30	PRIEST
192	79	2	Other
2	50	2	HUNTER
51	61	3	Other
15	73	30	PRIEST
52	41	3	NEUTRAL
12	57	3	PALADIN
41	58	3	MAGE
58	40	3	NEUTRAL
13	54	2	DRUID
26	57	3	DRUID
3	58	2	WARLOCK
1	79	30	NEUTRAL
2	61	2	ROGUE
7	61	3	DRUID
15	61	3	MAGE
1	76	30	NEUTRAL
1	60	30	DRUID
2	63	3	SHAMAN
2	57	2	ROGUE
3	54	3	NEUTRAL
3	67	2	HUNTER
2	46	30	HUNTER
2	84	30	WARRIOR
2	49	30	WARLOCK
1	77	2	HUNTER
1	61	3	PALADIN
1	87	30	NEUTRAL
31061	20	2	HUNTER
463	33	2	WARLOCK
70896	17	2	WARLOCK
17120	25	2	PRIEST
21179	23	2	PRIEST
13687	23	2	SHAMAN
6194	27	2	SHAMAN
3884	29	2	SHAMAN
45372	14	2	WARRIOR
93	1	2	WARRIOR
40328	16	2	WARRIOR
25418	19	2	ROGUE
31766	17	2	ROGUE
2962	30	2	The Coin
176	48	2	The Coin
1536	63	2	WARRIOR
523	75	2	Other
938	59	2	NEUTRAL
26401	35	2	NEUTRAL
76478	15	2	NEUTRAL
2675	53	2	NEUTRAL
232	78	2	Other
573	71	2	WARRIOR
1413989	24	3	Other
43065	8	3	WARLOCK
26443	30	3	PRIEST
1930	2	3	SHAMAN
1275	49	3	WARRIOR
91710	24	3	MAGE
2644	44	3	MAGE
53412	24	3	DRUID
4701	28	3	The Coin
28430	24	3	PALADIN
1693	36	3	HUNTER
60990	14	3	ROGUE
87106	19	30	Other
125320	10	30	Other
101053	17	30	Other
7014	37	30	Other
1532	12	30	HUNTER
1738	9	30	HUNTER
2711	6	30	WARLOCK
3405	7	30	PRIEST
335	48	30	PRIEST
1897	47	30	Other
1490	21	30	WARRIOR
2613	10	30	MAGE
4606	10	30	DRUID
1374	18	30	ROGUE
22	69	30	PRIEST
8	75	30	WARRIOR
81	38	2	WARLOCK
581	37	2	The Coin
7935	30	3	HUNTER
6816	33	3	PALADIN
31	35	30	ROGUE
331	49	30	NEUTRAL
34947	9	3	HUNTER
323	41	3	WARLOCK
138	8	2	NEUTRAL
70	58	30	WARRIOR
86	49	2	DRUID
252	60	2	PRIEST
46	50	3	HUNTER
21	51	3	ROGUE
89	68	2	PRIEST
31	55	3	PALADIN
6	55	3	HUNTER
30	1	30	ROGUE
7	5	30	The Coin
3	70	2	DRUID
4	53	2	HUNTER
9	40	30	WARLOCK
15	47	2	ROGUE
33	70	30	PRIEST
9	47	2	WARLOCK
13	88	30	PRIEST
1	64	2	MAGE
2	78	2	DRUID
8	50	2	WARLOCK
8	53	3	ROGUE
1	62	3	PALADIN
2	68	2	HUNTER
1	61	2	SHAMAN
131449	36	2	Other
2006656	9	2	Other
11686	55	2	Other
2608	30	2	HUNTER
277	37	2	HUNTER
9059	26	2	WARLOCK
56	39	2	WARLOCK
48642	9	2	PALADIN
4255	37	2	PRIEST
4649	62	2	Other
18913	21	2	SHAMAN
42082	4	2	SHAMAN
33950	22	2	WARRIOR
37316	7	2	WARRIOR
93	40	2	ROGUE
35061	13	2	MAGE
23246	19	2	MAGE
18336	5	2	MAGE
520	38	2	MAGE
137219	5	2	DRUID
73780	13	2	DRUID
44484	17	2	DRUID
1298	38	2	DRUID
5466	19	2	The Coin
4236	17	2	The Coin
4867	13	2	The Coin
8621	42	2	WARRIOR
3251	52	2	NEUTRAL
1892	61	2	WARRIOR
1972497	6	3	Other
1689	40	3	PALADIN
20852	6	3	PALADIN
72193	17	3	PRIEST
1771	47	3	PRIEST
21671	26	3	SHAMAN
38906	13	3	WARRIOR
43834	17	3	WARRIOR
6267	38	3	WARRIOR
21471	5	3	WARRIOR
26901	32	3	MAGE
136692	11	3	MAGE
5847	40	3	MAGE
1687	46	3	MAGE
879	54	3	Other
2997	40	3	DRUID
42443	6	3	DRUID
11272	15	3	The Coin
666	35	3	The Coin
55955	13	3	HUNTER
12711	28	3	HUNTER
54206	8	3	DRUID
843	5	30	HUNTER
13968	32	30	Other
3265	13	30	PRIEST
820	38	30	PRIEST
4359	19	30	SHAMAN
9688	13	30	SHAMAN
59	43	30	SHAMAN
1215	6	30	MAGE
4652	11	30	DRUID
700	22	30	ROGUE
86	55	30	WARRIOR
1318	36	30	NEUTRAL
598	44	30	NEUTRAL
144	55	30	NEUTRAL
182	9	30	NEUTRAL
729	2	2	MAGE
560	24	3	NEUTRAL
44488	7	3	ROGUE
26	40	30	MAGE
7	67	30	NEUTRAL
165	47	2	The Coin
133	32	30	DRUID
57	2	30	WARRIOR
44	34	30	ROGUE
14	46	30	DRUID
139	32	30	PALADIN
47	34	30	The Coin
11	52	3	WARLOCK
5	50	3	NEUTRAL
19	84	30	Other
6	67	3	WARRIOR
44	62	30	WARRIOR
27	82	2	PRIEST
14	50	30	SHAMAN
30	54	3	PALADIN
20	46	2	ROGUE
9	87	30	Other
9	53	3	The Coin
12	46	30	PALADIN
8	55	2	PALADIN
1	71	30	DRUID
1	87	2	ROGUE
3	59	2	WARLOCK
1	5	30	NEUTRAL
3	54	30	MAGE
1	65	3	DRUID
1	65	3	MAGE
24666	49	2	Other
42	42	2	HUNTER
168	80	2	Other
64020	18	2	WARLOCK
3510	30	2	PALADIN
1049	36	2	PALADIN
320	57	2	PRIEST
9423	25	2	SHAMAN
26219	27	2	WARRIOR
36740	20	2	WARRIOR
164211	3	2	ROGUE
2111	2	2	DRUID
87	48	2	PALADIN
89185	22	2	NEUTRAL
180	61	2	PRIEST
853	32	2	ROGUE
319	74	2	WARRIOR
299030	32	3	Other
13621	46	3	Other
16108	28	3	PALADIN
72711	13	3	PRIEST
8227	38	3	PRIEST
1411	43	3	SHAMAN
365	2	3	WARRIOR
330	55	3	WARRIOR
13706	33	3	WARRIOR
24130	25	3	ROGUE
4689	41	3	MAGE
710	46	3	DRUID
316	39	3	The Coin
231	41	3	The Coin
9992	29	3	ROGUE
40460	22	3	ROGUE
87226	11	3	DRUID
2331	41	3	DRUID
48589	3	30	Other
4778	3	30	PALADIN
310	50	30	PRIEST
6064	17	30	SHAMAN
1393	9	30	WARRIOR
1048	20	30	ROGUE
3607	6	30	DRUID
2781	14	30	ROGUE
5	80	30	WARRIOR
1289	12	30	NEUTRAL
313	44	2	DRUID
6	41	30	The Coin
333	50	3	SHAMAN
21	1	3	The Coin
288	30	3	NEUTRAL
311	24	30	HUNTER
232	31	30	MAGE
12	81	30	PRIEST
152	55	30	PRIEST
150	38	30	SHAMAN
138	31	30	DRUID
122	36	3	NEUTRAL
26	47	30	SHAMAN
24	40	30	The Coin
5	48	2	HUNTER
3	59	3	The Coin
12	2	30	PRIEST
27	33	30	HUNTER
1	60	3	ROGUE
3	54	30	DRUID
1	58	30	WARLOCK
1	79	2	ROGUE
1	55	3	NEUTRAL
1352188	5	2	Other
64497	4	2	HUNTER
102233	1	2	WARLOCK
93439	14	2	WARLOCK
63958	15	2	WARLOCK
52041	5	2	PALADIN
32114	12	2	SHAMAN
48386	10	2	SHAMAN
42263	6	2	ROGUE
30292	17	2	MAGE
5242	31	2	DRUID
403	43	2	DRUID
12451	37	2	WARRIOR
11548	42	2	NEUTRAL
198	35	2	WARLOCK
2788477	11	3	Other
53491	40	3	Other
47772	18	3	HUNTER
46831	14	3	HUNTER
19801	26	3	HUNTER
43155	26	3	PRIEST
60773	3	3	SHAMAN
3512	43	3	WARRIOR
1372	37	3	ROGUE
81512	8	3	MAGE
441	51	3	MAGE
25920	20	3	The Coin
37971	18	3	SHAMAN
428	42	3	ROGUE
23960	8	3	PALADIN
93842	6	30	Other
2150	46	30	Other
1745	28	30	PRIEST
1912	13	30	WARRIOR
411	38	30	WARRIOR
2780	11	30	MAGE
13421	8	30	The Coin
1158	5	30	WARRIOR
241	44	30	WARRIOR
19	79	30	Other
2099	31	30	NEUTRAL
2359	6	30	PALADIN
610	33	30	WARRIOR
173	43	2	MAGE
123	28	30	HUNTER
10309	34	3	DRUID
487	43	30	PRIEST
31	62	30	NEUTRAL
7	51	2	WARLOCK
181	32	30	MAGE
25	56	3	DRUID
180	33	3	NEUTRAL
85	15	30	The Coin
25	76	30	Other
16	88	2	WARRIOR
14	58	3	DRUID
18	83	2	PRIEST
39	7	2	NEUTRAL
52	50	2	DRUID
6	76	2	The Coin
8	68	3	Other
25	41	30	MAGE
4	59	3	PALADIN
17	67	30	WARRIOR
1	52	30	WARLOCK
4	53	2	WARLOCK
12	89	30	Other
22	51	3	The Coin
15	50	2	MAGE
1	53	30	The Coin
1	89	2	ROGUE
1	65	30	DRUID
2	51	30	The Coin
1	52	30	ROGUE
486184	28	2	Other
209998	33	2	Other
2597	66	2	Other
42467	13	2	PALADIN
5210	28	2	PALADIN
1697	33	2	PALADIN
19000	4	2	PRIEST
25834	10	2	PRIEST
58397	9	2	SHAMAN
649	36	2	SHAMAN
54538	11	2	ROGUE
5799	25	2	ROGUE
677	41	2	DRUID
5999	26	2	The Coin
52587	16	2	The Coin
458	39	2	The Coin
2259	67	2	Other
5488	48	2	NEUTRAL
49110	30	2	NEUTRAL
20741	37	2	NEUTRAL
17451	45	3	Other
46455	16	3	HUNTER
60880	16	3	PRIEST
62284	18	3	PRIEST
7344	39	3	PRIEST
18908	6	3	SHAMAN
5785	35	3	SHAMAN
2002	45	3	MAGE
895	45	3	DRUID
15480	30	3	WARLOCK
17614	22	3	The Coin
261	42	3	The Coin
4712	41	3	WARRIOR
372	28	3	NEUTRAL
8913	30	3	ROGUE
65365	9	3	WARLOCK
1555	14	30	HUNTER
2630	12	30	WARLOCK
2068	26	30	PRIEST
5374	18	30	SHAMAN
1422	26	30	SHAMAN
4720	40	30	Other
903	28	30	WARRIOR
729	31	30	WARRIOR
3611	7	30	ROGUE
2097	8	30	MAGE
4498	8	30	DRUID
2643	11	30	PALADIN
115	39	30	SHAMAN
289	43	30	WARRIOR
1808	33	30	NEUTRAL
2814	24	30	NEUTRAL
868	41	30	NEUTRAL
455	56	30	Other
66	44	2	SHAMAN
1269	2	3	WARLOCK
621	39	3	HUNTER
8	45	30	PALADIN
512	45	3	PALADIN
7	42	30	ROGUE
82	59	3	PRIEST
12	1	3	SHAMAN
21	40	30	PALADIN
81	56	3	MAGE
24	52	3	The Coin
25	37	30	ROGUE
22	45	2	ROGUE
9	65	3	Other
6	1	3	PRIEST
14	7	30	The Coin
1	61	30	DRUID
2	60	2	WARLOCK
6	77	30	PRIEST
17	1	3	HUNTER
11	66	30	NEUTRAL
8	47	2	HUNTER
9	46	30	MAGE
2	86	2	DRUID
4	48	30	ROGUE
5	3	2	The Coin
1	83	2	NEUTRAL
1	58	30	The Coin
37885	8	2	HUNTER
62326	10	2	WARLOCK
6121	60	2	Other
8199	25	2	PALADIN
11585	23	2	PALADIN
15699	21	2	PALADIN
2664	41	2	PRIEST
39944	1	2	SHAMAN
861	35	2	SHAMAN
9440	41	2	WARRIOR
4818	2	2	ROGUE
13988	25	2	DRUID
3539	54	2	WARRIOR
1892	68	2	Other
7106	46	2	NEUTRAL
61449	28	2	NEUTRAL
38789	32	2	NEUTRAL
1517	30	2	ROGUE
4487	50	3	Other
1175	49	3	PRIEST
13869	28	3	ROGUE
749	40	3	ROGUE
153520	19	3	MAGE
148163	17	3	MAGE
8816	38	3	MAGE
92946	19	3	DRUID
34299	25	3	WARRIOR
50935	19	3	PALADIN
9065	32	3	WARLOCK
93034	17	3	DRUID
99897	13	3	DRUID
44689	2	30	Other
2101	18	30	WARLOCK
597	26	30	WARLOCK
175	2	30	MAGE
914	2	30	DRUID
13000	4	30	The Coin
10484	10	30	The Coin
232	30	30	PALADIN
1276	23	30	WARRIOR
1146	25	30	WARRIOR
977	27	30	WARRIOR
1588	48	30	Other
2990	22	30	NEUTRAL
2734	20	30	NEUTRAL
109	57	30	PRIEST
832	29	30	WARRIOR
751	34	2	HUNTER
251	59	2	PRIEST
3	70	2	The Coin
139	63	2	PRIEST
545	47	3	DRUID
4573	38	3	DRUID
100	58	30	PRIEST
197	76	2	WARRIOR
53	37	30	PALADIN
50	73	2	PRIEST
669	21	3	NEUTRAL
51	60	30	NEUTRAL
38	1	3	WARLOCK
16	51	2	SHAMAN
321	29	3	NEUTRAL
45	49	3	HUNTER
160	44	3	The Coin
44	61	30	WARRIOR
32	85	2	WARRIOR
18	44	30	The Coin
13	86	2	PRIEST
16	49	30	SHAMAN
16	82	30	PRIEST
2	59	2	HUNTER
8	53	2	SHAMAN
7	56	2	DRUID
10	48	30	PALADIN
1	56	2	MAGE
1	63	2	HUNTER
4	59	2	SHAMAN
3	57	2	MAGE
1	73	2	HUNTER
1	81	2	ROGUE
35199	46	2	Other
1615239	6	2	Other
121259	3	2	HUNTER
3011	65	2	Other
25849	18	2	PRIEST
8421	3	2	PRIEST
103	45	2	MAGE
17724	20	2	The Coin
6790	15	2	The Coin
451	40	2	PALADIN
332	40	2	MAGE
81155	17	2	NEUTRAL
10026	43	2	NEUTRAL
54590	13	2	NEUTRAL
1081	66	2	WARRIOR
248	45	2	DRUID
160	44	3	WARLOCK
2586	45	3	WARRIOR
11640	31	3	WARLOCK
845	36	3	The Coin
